,US
Apparel & Accessories,3
Automobiles & Motorcycles,34
Baby Products,1501
Beauty & Health,66
Computer & Networking,7
Construction & Real Estate,13
Consumer Electronics,44
Customized Products,100008578
Electrical Equipment & Supplies,5
Electronic Components & Supplies,502
Food,2
Furniture,1503
Hair & Accessories,200003655
Hardware,42
Home & Garden,15
Home Appliances,6
Industry & Business,200003590
Jewelry & Watch,36
Lights & Lighting,39
Luggage & Bags,1524
Office & School Supplies,21
Phones & Telecommunications,509
Security & Protection,30
Shoes,322
Special Category,200001075
Sports & Entertainment,18
Tools,1420
Toys & Hobbies,26
Watches,1511
